team,elo
Iraqi Kurdistan,1648.2333228161758
Burkina Faso,1644.497074927584
Ynys Môn,1642.9110940998862
Guatemala,1641.055590646022
Iceland,1639.1857365139333
Abkhazia,1631.8576567168436
Ghana,1623.665365783426
Finland,1616.3885373067822
Kárpátalja,1606.9973766020396
Andalusia,1604.6713683911407
Kernow,1602.0497004721426
Curaçao,1599.7750771775377
Rhodes,1594.168341618005
Syria,1591.2222567140068
County of Nice,1590.024614589026
Qatar,1586.9327160558726
New Caledonia,1585.0863716614733
Belarus,1584.0530273223774
Tamil Eelam,1583.6225655230896
Suriname,1583.1353756680485
Palestine,1582.79563113054
Oman,1582.5893027574825
Angola,1581.7708077076861
Panjab,1580.7374515862205
Réunion,1579.1442569868245
Ellan Vannin,1569.373303424006
Guinea,1568.355641966351
China,1566.1145607215813
Kurdistan,1566.0128518018137
Artsakh,1565.2310453274772
Menorca,1564.6321565158987
Corsica,1564.1039337624252
Yorkshire,1557.3920773070315
Chameria,1550.4482855274546
Zambia,1549.2159702714116
Bahrain,1548.8561263704755
Bulgaria,1548.2766897239126
Benin,1548.1521601205839
Arameans Suryoye,1545.3309086781965
Cascadia,1544.9959087718312
Quebec,1543.1659131202082
Thailand,1541.8133108213708
Zanzibar,1535.3076654558677
Galicia,1535.1122426556965
Gambia,1531.9108497115178
Trinidad and Tobago,1531.2030137946147
Libya,1530.9809404251675
Montenegro,1529.6869919633832
Maule Sur,1528.345836909456
Gabon,1524.5607910175113
Kazakhstan,1523.5658869118938
Canary Islands,1521.0549596990948
Asturias,1518.9735820514093
Western Armenia,1516.6864688586127
Parishes of Jersey,1515.8222525942522
Silesia,1515.4277777538327
Surrey,1514.825535880513
Biafra,1514.7016558353464
Indonesia,1514.4757721990215
Uganda,1513.8282468350903
Guadeloupe,1511.2464516204304
Donetsk PR,1510.7040371551063
Brittany,1508.4848246813513
Mapuche,1508.4707999873015
Elba Island,1508.19299082897
Madagascar,1506.339366634837
Felvidék,1505.3913208385243
Tahiti,1504.255896919928
Malaysia,1502.9975461741037
United Koreans in Japan,1501.7217704487425
Székely Land,1501.7054081232943
Shetland,1501.4154534493523
Mozambique,1500.5719571173981
Délvidék,1500.4167863553969
Crimea,1499.9743784261889
Saugeais,1495.5579409890217
Central Spain,1494.6259793646138
Niger,1491.6807710258718
Madrid,1491.023789635848
Nicaragua,1490.427925449874
Cilento,1489.3195212305754
El Salvador,1489.0017006057428
Kuwait,1488.530631730446
Republic of St. Pauli,1488.2878605266876
North Korea,1487.9447896984952
Seborga,1487.3884608213937
Sápmi,1486.9871255467444
Luhansk PR,1486.071453990407
North Vietnam,1485.127301699789
Luxembourg,1484.686034670296
Yoruba Nation,1483.5009493569885
Vietnam,1483.0498928681143
Matabeleland,1482.0084781535634
Togo,1480.6496739475988
Sealand,1479.7258917185518
Somaliland,1476.6358437981548
Gozo,1476.0553957668767
Sierra Leone,1474.7621913655055
Ryūkyū,1474.4995677758473
Franconia,1474.4376862108297
West Papua,1474.334040176812
Comoros,1474.2260907453
Åland Islands,1474.038201984745
South Ossetia,1473.79713626481
Guyana,1472.9301765615726
Kenya,1470.0861939795157
South Yemen,1468.727866139107
Zimbabwe,1468.6273608097729
Dominican Republic,1468.4156907778035
Martinique,1467.2989305633794
Sudan,1465.9893089877155
Provence,1465.622314072283
Kyrgyzstan,1465.017543911556
Aymara,1463.1833631032425
Armenia,1462.1685745308355
Rwanda,1461.438791026142
Greenland,1460.9425561332882
Hmong,1460.3551206868003
Romani people,1460.188183081446
Kabylia,1455.4629026990388
East Turkestan,1454.1450088386043
Gotland,1453.7163479485662
Saarland,1452.583346513931
Mayotte,1451.7191777166909
Equatorial Guinea,1449.8340458629846
Mauritania,1448.6996123022875
Chechnya,1447.9057718819406
Tajikistan,1446.9444609980426
Papua New Guinea,1445.1792798535143
Monaco,1439.499582848803
Lebanon,1438.3649251483605
Malawi,1437.7489898283739
French Guiana,1436.2586845240967
Manchukuo,1432.4579068819125
Vanuatu,1432.074437914958
Faroe Islands,1431.7535408211352
Western Isles,1431.4984991859976
Găgăuzia,1428.9298801929417
Estonia,1427.6580210152495
Niue,1425.2614669694854
Liberia,1422.9419250499566
Palau,1422.1699883486808
Tanzania,1420.4071332802996
Vatican City,1418.4576088066265
Marshall Islands,1417.5796862517618
Azerbaijan,1416.5609201925
Saint Barthélemy,1413.673776347942
Ticino,1410.4008641699224
Namibia,1409.9079451433709
Lesotho,1409.0106985081861
Raetia,1408.0070840834019
Fiji,1402.1038926509239
Orkney,1400.495443930933
Two Sicilies,1400.210686969187
Western Sahara,1397.9624947430755
Cuba,1396.7871671998053
Western Australia,1394.058958354485
Ambazonia,1392.9260651393543
Turkmenistan,1392.4216622093904
Botswana,1391.8100526577286
Cyprus,1389.8511501616233
Ethiopia,1389.1349729056947
Burundi,1382.1340757429134
Malta,1378.7797647770315
Barawa,1377.6932103370018
Latvia,1375.908806886516
Lithuania,1375.2141083455683
Guinea-Bissau,1362.6631404895386
Central African Republic,1357.910651692692
Vietnam Republic,1356.508937975462
Yemen DPR,1351.747569104414
Puerto Rico,1351.1601374557797
Solomon Islands,1349.1351558606846
Chagos Islands,1349.0217664665877
Hong Kong,1348.4157030060317
Saint Helena,1347.0363285049107
Bermuda,1344.4426165702416
Saare County,1340.0303274079167
Philippines,1339.7141385143832
Saint Vincent and the Grenadines,1339.3176745663648
Hitra,1338.700837574095
Moldova,1331.5745493314682
Congo,1330.506682717654
Sark,1327.808600470175
Micronesia,1318.7127204301794
Singapore,1312.0893234207485
Eswatini,1306.643198671958
Yemen,1301.9838366679203
Wallis Islands and Futuna,1289.2181901873048
Saint Pierre and Miquelon,1286.4658005496137
Grenada,1283.6517465341171
Belize,1279.2769478358377
Sint Maarten,1275.7023936368637
Darfur,1274.6839382610053
South Sudan,1270.9962024417844
Saint Martin,1269.6710368291708
Saint Kitts and Nevis,1264.2713996740465
Tibet,1261.3458656987339
Chad,1246.3864032424915
India,1244.6204843846463
Montserrat,1228.856356455806
Saint Lucia,1222.5926521321837
Kiribati,1219.863517739293
Samoa,1215.7054199365762
Mauritius,1215.6323098177231
Aruba,1211.2954645648554
Falkland Islands,1211.2427309600369
Tuvalu,1203.5818831137183
Eritrea,1196.9691809875571
Afghanistan,1190.2140182718088
Frøya,1187.3918705762346
São Tomé and Príncipe,1171.472202684669
Andorra,1167.7206617971365
Gibraltar,1165.0872085275453
Dominica,1164.8960747137592
Myanmar,1157.0226458771886
Bangladesh,1144.287944527144
Antigua and Barbuda,1133.7673447668203
Bonaire,1130.3116826135622
Cook Islands,1124.6037953392681
Barbados,1124.4118386309262
Nepal,1103.950711671957
Pakistan,1091.5067395278606
Alderney,1079.6552383662292
Djibouti,1070.8576577515266
Cambodia,1070.4150171304893
Taiwan,1066.8201353491768
Tonga,1060.1842146111132
Somalia,1052.0050104650609
Cayman Islands,1047.6370287202003
Sri Lanka,1026.0550847551401
British Virgin Islands,1022.4531761083276
Liechtenstein,1018.0691897143806
Turks and Caicos Islands,1009.8011703524272
Seychelles,1007.6614729501956
Maldives,1005.7193556363557
United States Virgin Islands,993.4074958436591
Mongolia,986.1158591856645
Guam,976.081929977458
Northern Mariana Islands,962.6396333170544
Laos,954.025416534548
Bahamas,953.7248577027992
San Marino,924.4877447087433
American Samoa,918.5867869626625
Brunei,901.4025946214454
Anguilla,900.0544908979251
Timor-Leste,894.9891493073725
Bhutan,858.5145703070767
Macau,840.6606430374559
